scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-33_265_T-1,22,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",11,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.792213439941406e-05,0,0,4.792213439941406e-05
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1696090698242188e-05,0.03751683235168457,0.05936622619628906,0.15142226219177246
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.037404775619506836,0.06697845458984375,0.15910673141479492
DEU_LocationALower-34_147_T-1,16,R_G1,not repairable,"{'~a', 'd', 'e', 'c', 'g', 'b', 'h', 'f'}",16,15,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.200241088867188e-05,0.08840274810791016,0.10090804100036621,0.18938279151916504
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",2,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0742416381835938e-05,0.023948192596435547,0.09340572357177734,0.15418386459350586
DEU_LocationALower-34_49_T-1,10,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",3,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.002716064453125e-05,0,0,2.002716064453125e-05
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",8,7,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0742416381835938e-05,0.0451662540435791,0.03660392761230469,0.12545323371887207
DEU_LocationALower-35_126_T-1,20,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",2,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.002716064453125e-05,0,0,2.002716064453125e-05
DEU_LocationALower-35_263_T-1,12,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",1,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0,0,2.09808349609375e-05
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",14,13,[<Maneuver.BRAKE: 'brake'>],1.9550323486328125e-05,0.026938915252685547,0.02891230583190918,0.06852531433105469
DEU_LocationALower-36_113_T-1,14,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",9,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0265579223632812e-05,0,0,2.0265579223632812e-05
DEU_LocationALower-36_208_T-1,8,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.09808349609375e-05,0.021549701690673828,0.0367434024810791,0.07625126838684082
DEU_LocationALower-36_269_T-1,18,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",4,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.002716064453125e-05,0,0,2.002716064453125e-05
DEU_LocationALower-36_291_T-1,13,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",11,10,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1219253540039062e-05,0.04362654685974121,0.03251981735229492,0.09416079521179199
DEU_LocationALower-36_61_T-1,9,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",15,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0742416381835938e-05,0,0,2.0742416381835938e-05
DEU_LocationALower-37_1_T-1,11,R_G1,error/failed with cannot unpack non-iterable NoneType object,"{'e', 'g', 'a', 'h', 'f'}",1,-inf,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.0265579223632812e-05,0,0,2.0265579223632812e-05
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",15,14,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",1.811981201171875e-05,0.05068492889404297,0.02777266502380371,0.08983516693115234
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",5,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.2411346435546875e-05,0.03462553024291992,0.05210685729980469,0.13669085502624512
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'e', 'g', 'a', 'h', 'f'}",3,2,[<Maneuver.BRAKE: 'brake'>],2.1219253540039062e-05,0.02037501335144043,0.06761980056762695,0.12087488174438477
Nr of scenarios,52,Nr of infeasible trajectories,0,0.0,Nr of repairable trajectories,43,0.8269
