scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk,,
Nr of scenarios,79,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,66,0.8354,,,,,,,,
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",15,14,2.86102294921875E-05,0.044020414352417,0.0414164066314697,0.0980606079101563,10,1,130.174748519918,,
DEU_LocationALower-37_231_T-1,23,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",5,4,0.000030517578125,0.0334951877593994,0.0955929756164551,0.164628028869629,15,1,107.504868174077,,
DEU_LocationALower-37_4_T-1,22,R_G1,bingo,"{'d', 'b', 'e', 'a', 'c'}",3,2,3.48091125488281E-05,0.0213029384613037,0.114032506942749,0.173033475875855,14,1,60.9646111198623,,
DEU_LocationALower-13_82_T-1,17,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-14_14_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-28_252_T-1,12,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-29_70_T-1,11,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-30_46_T-1,16,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-31_154_T-1,9,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-31_24_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-32_136_T-1,16,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-32_70_T-1,14,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-33_142_T-1,10,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-33_16_T-1,12,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-33_261_T-1,13,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-34_120_T-1,17,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-34_163_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-34_179_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-36_123_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-36_236_T-1,6,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
DEU_LocationALower-13_247_T-1,15,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",6,5,0.000103473663330078,0.0689980983734131,0.290408372879028,0.359509944915771,9,4,,,
DEU_LocationALower-13_29_T-1,18,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",15,-inf,0.000106573104858398,0.250519514083862,0,0.250626087188721,18,4,,,
DEU_LocationALower-14_255_T-1,11,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",3,2,0.000106573104858398,0.12181544303894,0.438935518264771,0.560857534408569,20,4,,,
DEU_LocationALower-28_204_T-1,12,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",3,2,0.000105142593383789,0.133111238479614,0.32051944732666,0.453735828399658,7,4,,,
DEU_LocationALower-31_258_T-1,12,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",5,4,0.000103950500488281,0.0842776298522949,0.311996936798096,0.396378517150879,11,4,,,
DEU_LocationALower-32_117_T-1,17,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",9,8,9.63211059570313E-05,0.121071815490723,0.239481210708618,0.360649347305298,10,4,,,
DEU_LocationALower-33_120_T-1,9,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",2,1,0.000106573104858398,0.123867511749268,0.349076747894287,0.473050832748413,8,4,,,
DEU_LocationALower-33_46_T-1,17,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",2,1,0.000105857849121094,0.0810244083404541,0.365889072418213,0.447019338607788,11,4,,,
DEU_LocationALower-36_199_T-1,19,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",2,1,0.000106334686279297,0.0767941474914551,0.390677213668823,0.467577695846558,11,4,,,
DEU_LocationALower-36_263_T-1,15,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",3,2,9.87052917480469E-05,0.128897666931152,0.379579305648804,0.508575677871704,11,4,,,
DEU_LocationALower-37_121_T-1,16,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",5,4,9.65595245361328E-05,0.123857021331787,0.292395830154419,0.416349411010742,10,4,,,
DEU_LocationALower-37_235_T-1,8,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",4,3,0.000100374221801758,0.104569673538208,0.220577716827393,0.325247764587402,4,4,,,
DEU_LocationALower-37_240_T-1,8,R_G1,not repairable,"{'d', 'b', 'g', '~e', 'h', 'a', 'f', 'c'}",1,-inf,8.41617584228516E-05,0.116529703140259,0,0.116613864898682,4,4,,,
