scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",4,3,2.4318695068359375e-05,0.02587747573852539,0.06424140930175781,0.12359356880187988
DEU_LocationALower-34_147_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",16,15,2.2411346435546875e-05,0.04249763488769531,0.026697158813476562,0.09746551513671875
DEU_LocationALower-34_163_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-34_179_T-1,15,R_G1,initialization fails with cannot unpack non-iterable float object,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-34_37_T-1,9,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",2,1,3.123283386230469e-05,0.013904333114624023,0.09276485443115234,0.1440420150756836
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",3,2,2.3126602172851562e-05,0.02669358253479004,0.056504011154174805,0.13944053649902344
DEU_LocationALower-34_96_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",8,7,2.4318695068359375e-05,0.036782026290893555,0.037369728088378906,0.11531949043273926
DEU_LocationALower-35_126_T-1,20,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",2,1,2.3365020751953125e-05,0.014730453491210938,0.06499123573303223,0.13664507865905762
DEU_LocationALower-35_263_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",1,0,2.384185791015625e-05,0.014709711074829102,0.06905889511108398,0.12440347671508789
DEU_LocationALower-35_34_T-1,19,R_G1,bingo,"{'b', 'c', 'a', 'e', 'd'}",14,13,2.3126602172851562e-05,0.026839733123779297,0.03009510040283203,0.0706334114074707
