Nr of scenarios,111,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,110,0.991,,,,,,,,
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,bingo,"{'~a', 'b'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.76701354980469E-05,0.0001068115234375,0.0898659229278564,0.126553773880005,6,2,134.019298949832,
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,bingo,"{'~a', 'b'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.33786010742187E-05,9.79900360107422E-05,0.0851104259490967,0.12199592590332,6,2,136.117229543497,
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,bingo,"{'~a', 'b'}",16,0,[<Maneuver.BRAKE: 'brake'>],3.79085540771484E-05,0.000108242034912109,0.0946247577667236,0.13345217704773,8,2,126.343104071526,
DEU_AachenBendplatz-1_81520_T-1539,10114,R_IN1,bingo,"{'~a', 'b'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.83853912353516E-05,0.000104427337646484,0.0909912586212158,0.127105951309204,10,2,135.095252741526,
DEU_AachenBendplatz-1_151520_T-1539,10108,R_IN1,bingo,"{'~a', 'b'}",15,0,[<Maneuver.BRAKE: 'brake'>],3.4332275390625E-05,0.000102043151855469,0.101580858230591,0.138499975204468,9,2,116.700894049739,
DEU_AachenBendplatz-1_101840_T-1859,10111,R_IN1,bingo,"{'~a', 'b'}",17,0,[<Maneuver.BRAKE: 'brake'>],3.91006469726562E-05,0.000112056732177734,0.165863037109375,0.209685802459717,12,2,160.009665474234,
DEU_AachenBendplatz-1_121740_T-1759,10096,R_IN1,bingo,"{'~a', 'b'}",17,0,[<Maneuver.BRAKE: 'brake'>],3.86238098144531E-05,0.000100851058959961,0.179632186889648,0.23314642906189,7,2,149.304060054905,
DEU_AachenBendplatz-1_161200_T-1219,10100,R_IN1,bingo,"{'~a', 'b'}",17,0,[<Maneuver.BRAKE: 'brake'>],5.00679016113281E-05,0.000118732452392578,0.104459047317505,0.135741949081421,12,2,30.621327441535,
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,bingo,{'b'},18,0,[<Maneuver.BRAKE: 'brake'>],2.6702880859375E-05,9.36985015869141E-05,0.142466068267822,0.187377452850342,8,1,155.033352252299,
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,bingo,"{'~a', 'b'}",18,0,[<Maneuver.BRAKE: 'brake'>],3.74317169189453E-05,0.000103473663330078,0.11675238609314,0.162285089492798,8,2,159.415684307085,
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,bingo,"{'~a', 'b'}",18,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625E-05,0.000103235244750977,0.124701738357544,0.168007373809814,10,2,135.456477428591,
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,bingo,"{'~a', 'b'}",17,0,[<Maneuver.BRAKE: 'brake'>],3.69548797607422E-05,0.000102758407592773,0.0955386161804199,0.124237775802612,7,2,1.02757277187671,
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,bingo,{'b'},18,0,[<Maneuver.BRAKE: 'brake'>],2.40802764892578E-05,0.00011134147644043,0.114880323410034,0.154268503189087,11,1,123.953278422945,
DEU_AachenBendplatz-1_82620_T-2639,10197,R_IN1,bingo,{'b'},18,0,[<Maneuver.BRAKE: 'brake'>],2.14576721191406E-05,7.46250152587891E-05,0.138045310974121,0.176958799362183,8,1,145.909036789176,102.189313170055
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~n', '~j', '~d'}",1,0,[<Maneuver.BRAKE: 'brake'>],2.71797180175781E-05,0.000109672546386719,0.0575649738311768,0.0849931240081787,20,1,21.1401626317382,
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~e', '~n', '~d', '~f', '~j'}",1,0,[<Maneuver.BRAKE: 'brake'>],2.36034393310547E-05,0.00011754035949707,0.0711588859558106,0.0988030433654785,10,1,28.0363765443032,
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~n', '~j'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.47955322265625E-05,9.20295715332031E-05,0.0669651031494141,0.0896637439727783,10,1,0.171921235389348,
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~n', '~j'}",7,0,[<Maneuver.BRAKE: 'brake'>],2.98023223876953E-05,0.000121355056762695,0.0964498519897461,0.126033782958984,13,1,0.102240001851538,
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~n', '~j'}",11,0,[<Maneuver.BRAKE: 'brake'>],2.78949737548828E-05,0.000118732452392578,0.053635835647583,0.0756559371948242,10,1,0.0852398592279552,
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,bingo,"{'~n', '~j'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.69412994384766E-05,0.000102996826171875,0.0888094902038574,0.118704080581665,9,1,119.997938849764,
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~n', '~j'}",9,0,[<Maneuver.BRAKE: 'brake'>],2.55107879638672E-05,8.7738037109375E-05,0.0587282180786133,0.0818095207214356,6,1,14.534187146652,
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~k', '~n', '~j', '~i'}",4,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.CONSTANT: 'constant velocity'>]",2.43186950683594E-05,0.000101804733276367,0.0579493045806885,0.0868194103240967,10,1,1.33421905361586,
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~n', '~j'}",6,0,[<Maneuver.BRAKE: 'brake'>],2.50339508056641E-05,9.77516174316406E-05,0.0669181346893311,0.0912411212921143,10,1,12.233183260117,
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~n', '~j'}",12,0,[<Maneuver.BRAKE: 'brake'>],2.62260437011719E-05,9.63211059570313E-05,0.0473034381866455,0.0709857940673828,10,1,17.6248731436538,
