scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'b', '~a'}",10,0,[<Maneuver.BRAKE: 'brake'>],3.8623809814453125e-05,0.00010585784912109375,0.07078170776367188,0.10230302810668945,10,2
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.504753112792969e-05,0.00011754035949707031,0.09297776222229004,0.12719273567199707,10,2
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,0.00010395050048828125,0.08118009567260742,0.11690926551818848,9,2
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,bingo,"{'b', '~a'}",12,0,[<Maneuver.BRAKE: 'brake'>],3.743171691894531e-05,0.0001270771026611328,0.08740544319152832,0.12433004379272461,7,2
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,bingo,"{'b', '~a'}",12,0,[<Maneuver.BRAKE: 'brake'>],4.315376281738281e-05,0.00011968612670898438,0.07916569709777832,0.11694025993347168,8,2
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],4.649162292480469e-05,0.00012540817260742188,0.08943843841552734,0.12398052215576172,8,2
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,bingo,"{'b', '~a'}",11,0,[<Maneuver.BRAKE: 'brake'>],3.743171691894531e-05,0.00011038780212402344,0.0780184268951416,0.11285567283630371,8,2
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'b', '~a'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.814697265625e-05,0.00011014938354492188,0.09026813507080078,0.12492585182189941,9,2
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'b', '~a'}",12,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375e-05,0.00012087821960449219,0.07677149772644043,0.1123652458190918,7,2
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'b', '~a'}",12,0,[<Maneuver.BRAKE: 'brake'>],4.410743713378906e-05,0.00010895729064941406,0.08305978775024414,0.12075972557067871,7,2
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'b', '~a'}",13,0,[<Maneuver.BRAKE: 'brake'>],4.291534423828125e-05,0.00013518333435058594,0.08700108528137207,0.12121915817260742,11,2
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~a', '~b', '~d', '~h', '~c', '~i', '~e', '~j', '~g', '~f'}",9,0,[<Maneuver.BRAKE: 'brake'>],3.4809112548828125e-05,0.00016689300537109375,0.07777738571166992,0.10927295684814453,27,1
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'b', '~a'}",12,0,[<Maneuver.BRAKE: 'brake'>],3.838539123535156e-05,0.00011873245239257812,0.0915226936340332,0.12856149673461914,7,2
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'b', '~a'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.695487976074219e-05,0.0001125335693359375,0.09429502487182617,0.12482500076293945,18,2
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,bingo,"{'b', '~a'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.7670135498046875e-05,0.00011515617370605469,0.1068727970123291,0.14113116264343262,13,2
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,not repairable,"{'~a', '~b', '~d', '~c', '~e'}",10,0,[],0.0001201629638671875,0.00023937225341796875,0.2142493724822998,0.21460890769958496,14,5
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,bingo,"{'b', '~a'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.62396240234375e-05,0.00010824203491210938,0.10342073440551758,0.13851308822631836,9,2
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,bingo,"{'b', '~a'}",13,0,[<Maneuver.BRAKE: 'brake'>],3.933906555175781e-05,0.00010824203491210938,0.09337759017944336,0.12728667259216309,12,2
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,bingo,"{'b', '~a'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.719329833984375e-05,0.00010180473327636719,0.08774399757385254,0.12727713584899902,8,2
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,bingo,"{'b', '~a'}",13,0,[<Maneuver.BRAKE: 'brake'>],4.482269287109375e-05,0.00013446807861328125,0.10741901397705078,0.15388011932373047,13,2
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,bingo,"{'b', '~a'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.600120544433594e-05,9.441375732421875e-05,0.10953545570373535,0.14569878578186035,9,2
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,error/failed with 'NoneType' object has no attribute 'position',{'a'},12,-inf,[],2.1696090698242188e-05,4.172325134277344e-05,0,6.341934204101562e-05,9,1
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,error/failed with 'NoneType' object has no attribute 'position',{'a'},13,-inf,[],2.6226043701171875e-05,5.14984130859375e-05,0,7.772445678710938e-05,7,1
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,bingo,"{'b', '~a'}",13,0,[<Maneuver.BRAKE: 'brake'>],4.220008850097656e-05,0.00012493133544921875,0.09611225128173828,0.13360857963562012,6,2
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,bingo,"{'b', '~a'}",14,0,[<Maneuver.BRAKE: 'brake'>],3.933906555175781e-05,0.00012969970703125,0.09202694892883301,0.130645751953125,6,2
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,error/failed with 'NoneType' object has no attribute 'position',{'a'},13,-inf,[],2.288818359375e-05,5.269050598144531e-05,0,7.557868957519531e-05,7,1
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,bingo,"{'b', '~a'}",16,0,[<Maneuver.BRAKE: 'brake'>],3.9577484130859375e-05,0.00012040138244628906,0.09691572189331055,0.1374654769897461,8,2
