scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,jerk
Nr of scenarios,96,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,87,0.9062,,,,,,
DEU_LocationALower-30_258_T-1,22,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-30_258_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,160.944317368312
DEU_LocationALower-33_124_T-1,21,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_124_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DEU_LocationALower-33_128_T-1,6,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_128_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A,,,,
DEU_LocationALower-14_255_T-1,11,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",3,0,0.000104188919067383,0.000364780426025391,0.510103702545166,0.510572671890259,20,4,
DEU_LocationALower-28_204_T-1,12,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",3,0,0.000100851058959961,0.000342130661010742,0.358902215957642,0.359345197677612,7,4,
DEU_LocationALower-31_258_T-1,12,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",5,0,0.000109434127807617,0.000393152236938477,0.394875049591064,0.395377635955811,11,4,
DEU_LocationALower-33_120_T-1,9,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",2,0,0.000101327896118164,0.000374555587768555,0.384261131286621,0.384737014770508,8,4,
DEU_LocationALower-33_46_T-1,17,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",2,0,0.000109434127807617,0.000400066375732422,0.40510106086731,0.40561056137085,11,4,
DEU_LocationALower-36_199_T-1,19,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",2,0,0.0001068115234375,0.000433206558227539,0.411088705062866,0.411628723144531,11,4,
DEU_LocationALower-36_263_T-1,15,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",3,0,9.20295715332031E-05,0.000347614288330078,0.383882999420166,0.384322643280029,11,4,
DEU_LocationALower-37_121_T-1,16,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",5,0,9.75131988525391E-05,0.000455141067504883,0.351555824279785,0.352108478546143,10,4,
DEU_LocationALower-37_235_T-1,8,R_G1,not repairable,"{'a', 'f', 'd', '~e', 'g', 'c', 'h', 'b'}",4,0,9.98973846435547E-05,0.000363588333129883,0.261666774749756,0.262130260467529,4,4,
