scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles
DEU_LocationALower-33_142_T-1,10,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",5,-inf,7.104873657226562e-05,0.22198176383972168,0,0.22205281257629395,16
DEU_LocationALower-33_16_T-1,12,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",12,-inf,7.271766662597656e-05,0.21869945526123047,0,0.21877217292785645,17
DEU_LocationALower-33_183_T-1,25,R_G1,initialization fails with Couldn't load XML-File: /home/liny/highd_scenarios_2024_repaired/DEU_LocationALower-33_183_T-1.xml,N/A,N/A,N/A,N/A,N/A,N/A
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",6,5,2.86102294921875e-05,0.0213320255279541,0.03360104560852051,0.07712411880493164,5
DEU_LocationALower-33_228_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",15,14,2.5033950805664062e-05,0.04275226593017578,0.03156113624572754,0.08662009239196777,9
DEU_LocationALower-33_233_T-1,14,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",9,8,7.390975952148438e-05,0.1006925106048584,0.13434410095214844,0.23511052131652832,11
DEU_LocationALower-33_261_T-1,13,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",10,-inf,7.319450378417969e-05,0.28573036193847656,0,0.28580355644226074,14
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",11,10,2.4080276489257812e-05,0.03634786605834961,0.03491783142089844,0.10757589340209961,15
DEU_LocationALower-33_46_T-1,17,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",2,1,7.677078247070312e-05,0.06947684288024902,0.1366426944732666,0.20619630813598633,11
DEU_LocationALower-33_96_T-1,9,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",3,2,2.5033950805664062e-05,0.026363372802734375,0.05611562728881836,0.13857030868530273,10
DEU_LocationALower-34_120_T-1,17,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",15,-inf,7.343292236328125e-05,0.2702658176422119,0,0.2703392505645752,13
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'g', 'a', 'f', 'h', 'e'}",4,3,2.4557113647460938e-05,0.025861263275146484,0.06180214881896973,0.13989853858947754,7
DEU_LocationALower-34_147_T-1,16,R_G1,not repairable,"{'g', 'b', 'c', 'd', 'f', 'h', 'e', '~a'}",16,15,7.581710815429688e-05,0.07626819610595703,0.09769678115844727,0.1740407943725586,9
DEU_LocationALower-34_163_T-1,15,R_G1,bingo,"{'g', '~c', 'f', 'h', 'e'}",10,9,2.4318695068359375e-05,0.06540131568908691,0.03731703758239746,0.13920068740844727,14
