Nr of scenarios,124,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,123,0.9919,,,,,,,,
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,bingo,"{'~a', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.032334566116333,0.039318323135376,0.0881133079528809,7,2,150.507590608859,
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,bingo,"{'~a', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],4.26769256591797E-05,0.0288894176483154,0.0405550003051758,0.0867905616760254,8,2,133.34566168826,
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,bingo,"{'~a', 'b'}",11,8,[<Maneuver.BRAKE: 'brake'>],3.57627868652344E-05,0.0420894622802734,0.0400350093841553,0.0987286567687988,8,2,111.698722277895,
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,bingo,"{'~a', 'b'}",11,8,[<Maneuver.BRAKE: 'brake'>],3.50475311279297E-05,0.0395035743713379,0.0393092632293701,0.0945065021514893,8,2,129.874012472715,
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'~a', 'b'}",13,9,[<Maneuver.BRAKE: 'brake'>],4.31537628173828E-05,0.0422635078430176,0.0391666889190674,0.0973122119903564,9,2,89.5133648471482,
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'~a', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.55243682861328E-05,0.0340099334716797,0.0383718013763428,0.0880856513977051,7,2,76.0974888124458,
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'~a', 'b'}",12,8,[<Maneuver.BRAKE: 'brake'>],3.40938568115234E-05,0.0340275764465332,0.0424840450286865,0.0932722091674805,7,2,136.629786345081,
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'~a', 'b'}",13,8,[<Maneuver.BRAKE: 'brake'>],3.40938568115234E-05,0.0400598049163818,0.0467538833618164,0.104379892349243,11,2,95.7181741332003,
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'~a', 'b'}",12,9,[<Maneuver.BRAKE: 'brake'>],3.74317169189453E-05,0.0395913124084473,0.03592848777771,0.0900115966796875,7,2,130.806547809781,
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'~a', 'b'}",14,9,[<Maneuver.BRAKE: 'brake'>],3.76701354980469E-05,0.0423095226287842,0.0496706962585449,0.106899738311768,18,2,60.1262681254829,
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,bingo,"{'~a', 'b'}",13,9,[<Maneuver.BRAKE: 'brake'>],3.79085540771484E-05,0.0452120304107666,0.0412988662719727,0.101282835006714,13,2,66.5821031121835,
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,bingo,"{'~a', 'b'}",10,9,[<Maneuver.BRAKE: 'brake'>],3.55243682861328E-05,0.0360748767852783,0.0398039817810059,0.0889096260070801,14,2,10.0589291827826,
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,bingo,"{'~a', 'b'}",14,12,[<Maneuver.BRAKE: 'brake'>],3.52859497070312E-05,0.0410168170928955,0.0323898792266846,0.0836241245269775,9,2,43.2551892032021,
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,bingo,"{'~a', 'b'}",13,9,[<Maneuver.BRAKE: 'brake'>],3.31401824951172E-05,0.0419299602508545,0.0415315628051758,0.0995500087738037,12,2,67.8244693136376,
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,bingo,"{'~a', 'b'}",14,10,[<Maneuver.BRAKE: 'brake'>],4.07695770263672E-05,0.0388379096984863,0.0372674465179443,0.090418815612793,8,2,167.248153963039,
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,bingo,"{'~a', 'b'}",13,10,[<Maneuver.BRAKE: 'brake'>],3.29017639160156E-05,0.0388972759246826,0.0390148162841797,0.0910384654998779,13,2,115.546149485752,
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,bingo,"{'~a', 'b'}",14,10,[<Maneuver.BRAKE: 'brake'>],3.60012054443359E-05,0.0401608943939209,0.0375559329986572,0.0910820960998535,9,2,85.0102821979733,
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,bingo,"{'~a', 'b'}",12,11,[<Maneuver.BRAKE: 'brake'>],3.00407409667969E-05,0.0262768268585205,0.0377838611602783,0.0764763355255127,9,2,146.82620000782,
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,bingo,"{'~a', 'b'}",13,11,[<Maneuver.BRAKE: 'brake'>],3.14712524414062E-05,0.0390999317169189,0.0320768356323242,0.0825796127319336,6,2,131.909095508339,
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,bingo,"{'~a', 'b'}",14,12,[<Maneuver.BRAKE: 'brake'>],3.48091125488281E-05,0.0396146774291992,0.0300054550170898,0.0799667835235596,6,2,116.434382982178,
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,bingo,"{'~a', 'b'}",13,12,[<Maneuver.BRAKE: 'brake'>],3.55243682861328E-05,0.0257649421691895,0.0307543277740479,0.0675802230834961,7,2,162.067779389741,
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,bingo,"{'~a', 'b'}",16,12,[<Maneuver.BRAKE: 'brake'>],3.4332275390625E-05,0.0372123718261719,0.0325067043304443,0.0804247856140137,8,2,90.4925203827916,
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,bingo,"{'~a', 'b'}",14,13,[<Maneuver.BRAKE: 'brake'>],4.05311584472656E-05,0.0238306522369385,0.0281496047973633,0.0620827674865723,6,2,152.567207153302,
