scenario_id,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,vp,2,domain_dpll,True,1,6,0,inf,3,5.125999450683594e-05,2.5987625122070312e-05,0.0001785755157470703,0.0003139972686767578,0.0020923614501953125,0.0002741813659667969,0.0,0.0029363632202148438,0.9698843955993652,
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,smt,1,dpll,True,3,6,2,inf,0,0.0,4.482269287109375e-05,0.0,0.0,0.0,0.0,0.0,1.2566828727722168,2.813596248626709,
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,vp,2,domain_dpll,True,1,7,0,2.8000000000000003,3,5.078315734863281e-05,3.1948089599609375e-05,0.0001888275146484375,0.000438690185546875,0.0020208358764648438,0.00027298927307128906,0.0,0.0030040740966796875,1.01715087890625,
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,smt,2,dpll,False,5,7,3,,0,0.0,0.00015497207641601562,0.0,0.0,0.0,0.0,0.0,0.06197381019592285,1.1822834014892578,repair returned None
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,vp,2,domain_dpll,True,1,4,0,0.8,3,3.719329833984375e-05,2.574920654296875e-05,0.00016689300537109375,0.0003981590270996094,0.0024459362030029297,0.0002675056457519531,0.0,0.0033414363861083984,1.0788934230804443,
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,smt,1,dpll,True,3,4,1,0.8,0,0.0,4.220008850097656e-05,0.0,0.0,0.0,0.0,0.0,1.8912160396575928,3.3055739402770996,
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,vp,2,domain_dpll,True,1,6,0,inf,3,4.7206878662109375e-05,2.6464462280273438e-05,0.0001804828643798828,0.0004086494445800781,0.0028007030487060547,0.0004527568817138672,0.0,0.003916263580322266,1.0537285804748535,
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8891363143920898,ValueError: x and/or y coordinate outside of projection domain
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,vp,2,domain_dpll,True,1,3,0,0.6000000000000001,3,3.886222839355469e-05,2.86102294921875e-05,0.00016498565673828125,0.00038170814514160156,0.003518342971801758,0.0004603862762451172,0.0,0.0045928955078125,1.059812307357788,
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,smt,2,dpll,True,3,3,2,0.6000000000000001,0,0.0,4.363059997558594e-05,0.0,0.0,0.0,0.0,0.0,0.3242356777191162,1.7645864486694336,
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,vp,2,domain_dpll,True,1,7,0,inf,3,5.0067901611328125e-05,2.765655517578125e-05,0.00017380714416503906,0.0002925395965576172,0.002726316452026367,0.0002593994140625,0.0,0.003529787063598633,0.9854471683502197,
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,smt,2,dpll,False,0,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7161364555358887,ValueError: x and/or y coordinate outside of projection domain
