cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error,rule_semantics,fixed_other_id,vp_tv,result_provenance,validation_scope,dataset_cohort,result_source_csv
all_cases,True,True,True,2.568367011997907,378,DEU_LocationALower-29_250_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_250_T-1.xml,12,R_G1,0,standard,21,True,True,True,0.012124615999709931,0.8530811239998002,0.01133625399961602,0.8765419939991261,0.1595272840004327,0.010468006134033203,1535,378,2271,2,0.0,0.009999999999536158,inf,,,,,,,9,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.503766227999222,378,DEU_LocationALower-29_65_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_65_T-1.xml,8,R_G1,0,standard,21,True,True,True,0.010537835998547962,0.849417209999956,0.01715896599853295,0.8771140119970369,0.1505801799994515,0.016409873962402344,1535,378,2271,2,0.0,0.009999999995898179,inf,,,,,,,17,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.7358121019988175,376,DEU_LocationALower-29_70_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-29_70_T-1.xml,11,R_G1,0,standard,21,True,True,True,0.007852593998904922,0.8096818379999604,0.016235444998528692,0.833769876997394,0.15360314999998081,0.015501022338867188,1445,348,2161,2,0.0,0.00999999999942247,inf,,,,,,,3,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,2.668350336001822,378,DEU_LocationALower-30_218_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-30_218_T-1.xml,16,R_G1,0,standard,21,True,True,True,0.006357058000503457,0.8816252140004508,0.023670973001571838,0.9116532450025261,0.15591758499977004,0.022762060165405273,1535,378,2271,2,2.103042631327613e-15,0.00999999999908141,inf,,,,,,,13,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.5471893809990434,378,DEU_LocationALower-30_46_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-30_46_T-1.xml,16,R_G1,0,standard,21,True,True,True,0.009997246001148596,0.8548057160005555,0.014198771001247223,0.8790017330029514,0.1644684530001541,0.013055086135864258,1535,378,2271,2,1.0703754390929499e-15,0.00999999999908141,inf,,,,,,,6,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.368022087001009,283,DEU_LocationALower-31_154_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-31_154_T-1.xml,9,R_G1,0,standard,16,True,True,True,0.007007857999269618,0.5130365040004108,0.012080026999683469,0.5321243889993639,0.14905878599893185,0.01140284538269043,945,213,1456,2,1.3315697178437025e-15,0.009999999999308784,inf,,,,,,,10,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.8194101030003367,376,DEU_LocationALower-31_239_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-31_239_T-1.xml,16,R_G1,0,standard,21,True,True,True,0.007791840000209049,0.8575721050001448,0.01781014799962577,0.8831740929999796,0.17956373999913922,0.01690816879272461,1529,376,2263,2,0.0,0.00999999999908141,inf,,,,,,,15,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.5028068730007362,377,DEU_LocationALower-31_24_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-31_24_T-1.xml,13,R_G1,0,standard,21,True,True,True,0.01071059000059904,0.8336907539996901,0.015106356999240234,0.8595077009995293,0.18329785099922447,0.014169931411743164,1490,363,2216,2,2.2086738479334197e-15,0.009999999999308784,inf,,,,,,,18,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.2205251380019035,357,DEU_LocationALower-31_31_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-31_31_T-1.xml,15,R_G1,0,standard,21,True,True,True,0.0042236580011376645,0.8419167190004373,0.01196125100068457,0.8581016280022595,0.16065445200001705,0.011242151260375977,1472,357,2187,2,0.0,0.009999999995898179,inf,,,,,,,17,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.2954556250024325,378,DEU_LocationALower-31_47_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-31_47_T-1.xml,13,R_G1,0,standard,21,True,True,True,0.00813050699980522,0.8440782830002718,0.031457119999686256,0.8836659099997632,0.15603906599972106,0.030663013458251953,1535,378,2271,2,0.0,0.009999999996807674,inf,,,,,,,7,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
all_cases,True,True,True,1.910388279997278,357,DEU_LocationALower-32_117_T-1,scenarios/experiment_scenarios/highd/DEU_LocationALower-32_117_T-1.xml,17,R_G1,0,standard,21,True,True,True,0.007490408001103788,0.8247567180005717,0.02042670700029703,0.8526738330019725,0.1696195059994352,0.01941514015197754,1472,357,2187,2,0.0,0.009999999994988684,inf,,,,,,,12,,legacy_full_scene,R_G1_highD,micp_comparison/results/lin2025_standard_full_2026-09-04/rg1.csv
