rule_group,scenario_id,ego_id,sat_solver_mode,monitor_ok,repair_ok,repaired,tv,tv_class,rule_to_tv,rule_to_tv_classes,iterations,error_type,error,captured_failure_lines,potential_masked_bug,wall_time
R_G1,DEU_LocationALower-30_218_T-1,16,dpll,True,True,True,13,finite_positive,{'R_G1': 13},{'R_G1': 'finite_positive'},1,,,,False,0.9149448871612549
R_G1,DEU_LocationALower-30_218_T-1,16,domain_dpll,True,True,True,13,finite_positive,{'R_G1': 13},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,0.9093506336212158
R_G1,DEU_LocationALower-30_46_T-1,16,dpll,True,True,True,1,finite_positive,{'R_G1': 1},{'R_G1': 'finite_positive'},1,,,,False,1.0439186096191406
R_G1,DEU_LocationALower-30_46_T-1,16,domain_dpll,True,True,True,6,finite_positive,{'R_G1': 6},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0707707405090332
R_G1,DEU_LocationALower-31_154_T-1,9,dpll,True,True,True,10,finite_positive,{'R_G1': 10},{'R_G1': 'finite_positive'},1,,,,False,0.9194881916046143
R_G1,DEU_LocationALower-31_154_T-1,9,domain_dpll,True,True,True,10,finite_positive,{'R_G1': 10},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.1531846523284912
R_G1,DEU_LocationALower-31_239_T-1,16,dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},2,,,* 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 5 with prop in_same_lane__0_1.,False,1.0707731246948242
R_G1,DEU_LocationALower-31_239_T-1,16,domain_dpll,True,True,True,15,finite_positive,{'R_G1': 15},{'R_G1': 'finite_positive'},2,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane' | * 	<VPRepairer>: VP repair failed for current SAT model: Infeasible lane constraint at time step 5 with prop in_same_lane__0_1.",False,1.1106350421905518
R_G1,DEU_LocationALower-31_24_T-1,13,dpll,True,True,True,18,finite_positive,{'R_G1': 18},{'R_G1': 'finite_positive'},1,,,,False,1.0352609157562256
R_G1,DEU_LocationALower-31_24_T-1,13,domain_dpll,True,True,True,18,finite_positive,{'R_G1': 18},{'R_G1': 'finite_positive'},1,,,"* 	<VPRepairer>: domain_dict construction failed, falling back to empty domains: 'DynamicObstacle' object has no attribute 'get_lane'",False,1.0479676723480225
