scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,num_obstacles
DEU_AachenBendplatz-1_133380_T-3399,10235,R_IN1,bingo,{'b'},18,16,2.45571136474609e-05,0.0341053009033203,0.0226118564605713,0.0625219345092773,0.39
DEU_AachenBendplatz-1_15920_T-939,10064,R_IN1,bingo,"{'b', '~a'}",18,16,2.95639038085937e-05,0.0325243473052979,0.0225498676300049,0.0610747337341309,6.58
DEU_AachenBendplatz-1_122600_T-2619,10162,R_IN1,bingo,"{'b', '~a'}",18,16,2.52723693847656e-05,0.0324728488922119,0.0471949577331543,0.0864360332489014,3.78
DEU_AachenBendplatz-1_112180_T-2199,10139,R_IN1,bingo,"{'b', '~a'}",17,16,2.47955322265625e-05,0.0419793128967285,0.0209875106811523,0.088129997253418,3.68
DEU_AachenBendplatz-1_174480_T-4499,10329,R_IN1,bingo,{'b'},18,17,1.62124633789062e-05,0.0345346927642822,0.020686149597168,0.13325023651123,3.9
DEU_AachenFrankenburg-1_184060_T-4079,10290,R_IN4,bingo,"{'~j', '~n', '~d'}",1,0,1.97887420654297e-05,0.0263068675994873,0.0398416519165039,0.091827392578125,0.15
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",1,0,2.26497650146484e-05,0.0296244621276855,0.04986572265625,0.10481858253479,0.05
DEU_AachenBendplatz-1_145000_T-5019,10367,R_IN4,bingo,"{'~j', '~n'}",6,0,1.9073486328125e-05,0.0594553947448731,0.0526442527770996,0.134127855300903,0.05
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~o', '~j', 'n', '~i', '~g', '~h'}",7,0,4.74452972412109e-05,0.141448259353638,0.0651969909667969,0.234188795089722,0.05
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~j', '~d', 'n', '~e', '~f', '~o'}",11,0,4.38690185546875e-05,0.196540355682373,0.0533730983734131,0.273563385009766,0.02
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,bingo,"{'~j', '~n'}",9,2,1.71661376953125e-05,0.0649950504302979,0.047868013381958,0.140389204025269,0.05
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~j', '~n'}",9,2,2.09808349609375e-05,0.0846457481384277,0.0479776859283447,0.155490398406982,1.08
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~j', '~k', '~n', '~i'}",4,2,2.38418579101562e-05,0.100567102432251,0.0365493297576904,0.156850337982178,59.48
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~j', '~n'}",6,3,1.93119049072266e-05,0.0702614784240723,0.0479528903961182,0.138309717178345,0.0
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,bingo,"{'~j', '~n'}",12,4,2.69412994384766e-05,0.103423357009888,0.0413503646850586,0.162978172302246,2.29
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,bingo,"{'~j', '~d', '~o'}",11,4,2.21729278564453e-05,0.154523372650146,0.0490865707397461,0.225089550018311,26.42
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,bingo,"{'~j', '~n'}",10,5,2.59876251220703e-05,0.0926556587219238,0.0450658798217773,0.156061172485352,1.33
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,bingo,"{'~j', '~n'}",12,5,2.24113464355469e-05,0.0894157886505127,0.0401031970977783,0.148193836212158,1.07
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,bingo,"{'~j', '~n'}",11,5,2.36034393310547e-05,0.0993247032165527,0.0630686283111572,0.183927774429321,1.1
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,bingo,"{'~j', '~n'}",11,6,1.95503234863281e-05,0.0966525077819824,0.0507161617279053,0.164600610733032,0.44
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,bingo,"{'~b', '~d', '~g', '~i', '~j', '~a', '~e', '~c', '~f', '~h'}",9,8,3.24249267578125e-05,0.0788447856903076,0.0359117984771729,0.131338357925415,3.79
DEU_AachenFrankenburg-1_206020_T-6039,10462,R_IN4,bingo,"{'~j', '~n'}",5,0,1.85966491699219e-05,0.0476093292236328,0.0501105785369873,0.126915693283081,2.82
DEU_AachenBendplatz-1_13720_T-739,10057,R_IN4,bingo,"{'~j', '~n'}",3,2,1.78813934326172e-05,0.0579431056976318,0.0499444007873535,0.164139986038208,0.27
DEU_AachenBendplatz-1_83000_T-3019,10226,R_IN4,bingo,"{'~j', '~n', '~b', '~c', '~g', '~i'}",4,2,2.62260437011719e-05,0.0431184768676758,0.0416240692138672,0.105373620986938,1.05
DEU_AachenFrankenburg-1_232260_T-2279,10208,R_IN4,bingo,"{'~j', '~g', '~n'}",5,2,1.95503234863281e-05,0.0592036247253418,0.0354654788970947,0.120349407196045,0.11
DEU_AachenBendplatz-1_74520_T-4539,10173,R_IN4,bingo,"{'~b', '~g', '~i', '~j', '~n', '~e', '~c', '~f'}",5,3,2.45571136474609e-05,0.0636081695556641,0.044081449508667,0.127622842788696,0.8
