scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,compliance_check_time,core_total_time,wall_time,error
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_57,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_57.xml,10381,R_IN3_hand_draft,vp,2,domain_dpll,True,1,4,0,1.2,0,6.19888305664063E-06,1.23977661132813E-05,3.14712524414063E-05,0.000246524810791016,0.00189542770385742,0.000234127044677734,0,0.0024261474609375,1.04583764076233,
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_57,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_57.xml,10381,R_IN3_hand_draft,smt,1,dpll,True,2,4,2,1.4,0,0,3.50475311279297E-05,0,0,0,0,0,0.494931697845459,17.863734960556,
DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_58,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_58.xml,10184,R_IN3_hand_draft,vp,2,domain_dpll,True,1,7,0,inf,0,9.29832458496094E-06,1.95503234863281E-05,0.00150251388549805,0.000274181365966797,0.00206518173217773,0.000769376754760742,0,0.00464010238647461,1.0989305973053,
DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_58,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_58.xml,10184,R_IN3_hand_draft,smt,1,dpll,True,2,7,6,1.8,0,0,2.57492065429688E-05,0,0,0,0,0,0.231913328170776,17.2749419212341,
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_60,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_60.xml,10066,R_IN3_hand_draft,vp,2,domain_dpll,True,1,5,0,inf,0,5.7220458984375E-06,1.81198120117188E-05,0.00542569160461426,0.000281572341918945,0.00196123123168945,0.000245332717895508,0,0.00793766975402832,1.26177358627319,
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_60,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_60.xml,10066,R_IN3_hand_draft,smt,2,dpll,True,1,5,2,1.2,0,0,2.26497650146484E-05,0,0,0,0,0,0.43724536895752,23.6981704235077,
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_63,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_63.xml,10131,R_IN3_hand_draft,vp,2,domain_dpll,True,1,6,0,inf,0,5.7220458984375E-06,1.19209289550781E-05,0.00196576118469238,0.000263214111328125,0.00282430648803711,0.000242710113525391,0,0.00531363487243652,1.02135682106018,
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_63,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_63.xml,10131,R_IN3_hand_draft,smt,1,dpll,True,2,6,4,1.6,0,0,2.98023223876953E-05,0,0,0,0,0,0.25857949256897,16.9971601963043,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_65,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_65.xml,10523,R_IN3_hand_draft,vp,2,domain_dpll,True,2,8,0,2.6,0,6.67572021484375E-06,5.65052032470703E-05,0.0104711055755615,0.000642061233520508,0.00107288360595703,0.000185489654541016,0,0.012434720993042,0.987025499343872,
DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_65,scenarios/generated_in3_tests/DEU_AachenFrankenburg-1_295460_T-5479_in3_safe_variant_65.xml,10523,R_IN3_hand_draft,smt,2,dpll,False,0,,,,0,0,0,0,0,0,0,0,0,0.890253305435181,ValueError: x and/or y coordinate outside of projection domain
