scenario_id,scenario_path,ego_id,rule,repairer_type,planner,sat_solver_mode,success,iterations,tv,tc,updated_tv,domain_dict_size,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,core_total_time,wall_time,error
DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_34,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_34.xml,10047,R_IN5,smt,2,dpll,True,1,14,9,inf,0,0.0,2.4318695068359375e-05,0.0,0.0,0.0,0.0,0.0,0.15381312370300293,6.8311686515808105,
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_35,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_35.xml,10204,R_IN5,vp,2,domain_dpll,True,1,14,0,inf,7,1.8835067749023438e-05,4.1961669921875e-05,0.0033206939697265625,0.0003845691680908203,0.0004642009735107422,0.002433300018310547,0.0005154609680175781,0.0071790218353271484,8.231821775436401,
DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_35,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_35.xml,10204,R_IN5,smt,2,dpll,True,1,14,12,inf,0,0.0,2.4557113647460938e-05,0.0,0.0,0.0,0.0,0.0,0.09909462928771973,7.877085447311401,
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_37,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_37.xml,10288,R_IN5,vp,2,domain_dpll,True,2,11,0,inf,7,1.9788742065429688e-05,0.00010704994201660156,0.007108926773071289,0.002565145492553711,0.0010712146759033203,0.007802724838256836,0.0011870861053466797,0.019861936569213867,8.728151321411133,
DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_37,scenarios/experiment_scenarios/variants/in5/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_37.xml,10288,R_IN5,smt,2,dpll,True,1,11,0,inf,0,0.0,3.409385681152344e-05,0.0,0.0,0.0,0.0,0.0,0.30314135551452637,6.996920824050903,
DEU_AAH1-2_7900_T-1049_in5_variant_01,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_01.xml,10020,R_IN5,vp,2,domain_dpll,True,1,63,0,inf,7,1.621246337890625e-05,4.172325134277344e-05,0.011595964431762695,0.0007326602935791016,0.003222227096557617,0.006863832473754883,0.0029189586639404297,0.025391578674316406,9.282238006591797,
DEU_AAH1-2_7900_T-1049_in5_variant_01,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_01.xml,10020,R_IN5,smt,2,dpll,True,1,63,62,inf,0,0.0,2.4318695068359375e-05,0.0,0.0,0.0,0.0,0.0,0.8809704780578613,8.017292499542236,
DEU_AAH1-2_7900_T-1049_in5_variant_03,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_03.xml,10020,R_IN5,vp,2,domain_dpll,True,1,67,0,inf,7,2.2649765014648438e-05,4.744529724121094e-05,0.011911630630493164,0.0007648468017578125,0.0032160282135009766,0.008734703063964844,0.004521846771240234,0.02921915054321289,8.778974771499634,
DEU_AAH1-2_7900_T-1049_in5_variant_03,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_03.xml,10020,R_IN5,smt,2,dpll,True,1,67,66,inf,0,0.0,2.5510787963867188e-05,0.0,0.0,0.0,0.0,0.0,0.8614299297332764,8.085036277770996,
DEU_AAH1-2_7900_T-1049_in5_variant_05,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_05.xml,10020,R_IN5,vp,2,domain_dpll,True,1,57,0,inf,7,1.7642974853515625e-05,4.291534423828125e-05,0.01121211051940918,0.0006868839263916016,0.003123760223388672,0.007539510726928711,0.005543231964111328,0.02816605567932129,8.798036575317383,
DEU_AAH1-2_7900_T-1049_in5_variant_05,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_05.xml,10020,R_IN5,smt,2,dpll,True,1,57,56,inf,0,0.0,2.2172927856445312e-05,0.0,0.0,0.0,0.0,0.0,1.3830933570861816,8.021402359008789,
DEU_AAH1-2_7900_T-1049_in5_variant_06,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_06.xml,10020,R_IN5,vp,2,domain_dpll,True,1,60,0,inf,7,1.5020370483398438e-05,4.315376281738281e-05,0.01132345199584961,0.0007224082946777344,0.0031006336212158203,0.007254362106323242,0.0040493011474609375,0.026508331298828125,8.795097827911377,
DEU_AAH1-2_7900_T-1049_in5_variant_06,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_06.xml,10020,R_IN5,smt,2,dpll,False,15,60,57,,0,0.0,0.00045180320739746094,0.0,0.0,0.0,0.0,0.0,1.0710771083831787,8.441780090332031,repair returned None
DEU_AAH1-2_7900_T-1049_in5_variant_07,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_07.xml,10020,R_IN5,vp,2,domain_dpll,True,1,66,0,inf,7,1.4543533325195312e-05,3.838539123535156e-05,0.010939359664916992,0.000751495361328125,0.003056764602661133,0.006176471710205078,0.0021142959594726562,0.02309131622314453,8.712021827697754,
DEU_AAH1-2_7900_T-1049_in5_variant_07,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_07.xml,10020,R_IN5,smt,2,dpll,True,1,66,65,inf,0,0.0,2.5987625122070312e-05,0.0,0.0,0.0,0.0,0.0,0.7440872192382812,7.324425220489502,
DEU_AAH1-2_7900_T-1049_in5_variant_09,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_09.xml,10020,R_IN5,vp,2,domain_dpll,True,1,61,0,inf,7,1.3589859008789062e-05,3.981590270996094e-05,0.01023721694946289,0.0006282329559326172,0.002831697463989258,0.005838871002197266,0.003999948501586914,0.023589372634887695,7.4624388217926025,
DEU_AAH1-2_7900_T-1049_in5_variant_09,scenarios/experiment_scenarios/variants/in5/DEU_AAH1-2_7900_T-1049_in5_variant_09.xml,10020,R_IN5,smt,2,dpll,True,1,61,58,inf,0,0.0,2.4318695068359375e-05,0.0,0.0,0.0,0.0,0.0,0.7615852355957031,7.341264486312866,
