rule_group,algorithm_variant,scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,extend_acceleration_reference_path,attempted_smt_configurations,success,iterations,successful_repair_mode,deceleration_iterations,acceleration_iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
in4,vp_acceleration,DEU_AachenBendplatz-1_72340_T-2359,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_72340_T-2359.xml,10096,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,9,0,inf,0,0.0,0.0038013458251953,0.0007812976837158,0.0007612705230712,0.0,0.0007612705230712,0.0013816356658935,0.000420331954956,0.0003609657287597,0.0032095909118652,0.00059175491333,0.0,0.0,0.0,0.0053439140319824,5.637431621551514,
in4,vp_acceleration,DEU_AachenBendplatz-1_83420_T-3439,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_83420_T-3439.xml,10259,R_IN4,vp,1,1,dpll,False,,True,39,acceleration,25,14,7,0,inf,0,0.0,0.0527303218841552,0.0121200084686279,0.1775646209716797,0.0,0.1775646209716797,5.412101745605469e-05,0.0015499591827392,0.0105700492858886,0.0460693836212158,0.0066609382629394,0.0,0.0,0.0,0.2424149513244629,10.791761636734009,
in4,vp_acceleration,DEU_AachenBendplatz-1_92260_T-2279,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_92260_T-2279.xml,10121,R_IN4,vp,1,1,dpll,False,,True,1,deceleration,1,0,14,0,inf,0,0.0,0.0032942295074462,0.0008878707885742,0.0004239082336425,0.0,0.0004239082336425,0.0011210441589355,0.0004286766052246,0.0004591941833496,0.0027384757995605,0.0005557537078857,0.0,0.0,0.0,0.004606008529663,5.693642616271973,
in5,vp_acceleration,DEU_AachenFrankenburg-1_252340_T-2359,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_252340_T-2359.xml,10218,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,9,0,inf,7,0.0007410049438476,0.0046610832214355,0.0005946159362792,0.0002212524414062,0.0007410049438476,0.0002212524414062,0.0022604465484619,8.344650268554688e-05,0.0005111694335937,0.0043692588806152,0.0002918243408203,0.0,0.0,0.0,0.0062179565429687,4.814474105834961,
in5,vp_acceleration,DEU_AachenFrankenburg-1_263760_T-3779,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_263760_T-3779.xml,10333,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,10,0,inf,7,0.0006425380706787,0.0063166618347167,0.0003929138183593,0.0001940727233886,0.0006425380706787,0.0001940727233886,0.0016686916351318,7.390975952148438e-05,0.0003190040588378,0.0060474872589111,0.0002691745758056,0.0,0.0,0.0,0.0075461864471435,4.839367866516113,
in5,vp_acceleration,DEU_AachenFrankenburg-1_295880_T-5899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_295880_T-5899.xml,10562,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,3,0,inf,7,0.0007593631744384,0.0046615600585937,0.000507116317749,0.0001978874206542,0.0007593631744384,0.0001978874206542,0.0025315284729003,8.654594421386719e-05,0.0004205703735351,0.0044069290161132,0.0002546310424804,0.0,0.0,0.0,0.0061259269714355,4.737301588058472,
in5,vp_acceleration,DEU_AachenBendplatz-1_121500_T-1519,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenBendplatz-1_121500_T-1519.xml,10086,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,8,0,inf,7,0.0007739067077636,0.0047249794006347,0.0005021095275878,0.0002379417419433,0.0007739067077636,0.0002379417419433,0.0020809173583984,8.130073547363281e-05,0.0004208087921142,0.0044689178466796,0.000256061553955,0.0,0.0,0.0,0.0062389373779296,5.786036968231201,
in5,vp_acceleration,DEU_AachenBendplatz-1_12960_T-979,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenBendplatz-1_12960_T-979.xml,10047,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,14,0,inf,7,0.0006508827209472,0.0040802955627441,0.0005474090576171,0.0002117156982421,0.0006508827209472,0.0002117156982421,0.0015902519226074,8.487701416015625e-05,0.000462532043457,0.0038135051727294,0.0002667903900146,0.0,0.0,0.0,0.0054903030395507,5.655982971191406,
in5,vp_acceleration,DEU_AachenBendplatz-1_132900_T-2919,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenBendplatz-1_132900_T-2919.xml,10204,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,13,0,inf,7,0.0006651878356933,0.0039787292480468,0.0004646778106689,0.0001978874206542,0.0006651878356933,0.0001978874206542,0.0019521713256835,7.987022399902344e-05,0.0003848075866699,0.0037009716033935,0.0002777576446533,0.0,0.0,0.0,0.0053064823150634,5.898941516876221,
in5,vp_acceleration,DEU_AachenBendplatz-1_83820_T-3839,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenBendplatz-1_83820_T-3839.xml,10288,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,11,0,inf,7,0.0006465911865234,0.0040032863616943,0.0004315376281738,0.000220775604248,0.0006465911865234,0.000220775604248,0.0014629364013671,8.273124694824219e-05,0.0003488063812255,0.003394603729248,0.0006086826324462,0.0,0.0,0.0,0.0053021907806396,5.683053970336914,
in5,vp_acceleration,DEU_AachenBendplatz-1_84280_T-4299,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenBendplatz-1_84280_T-4299.xml,10331,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,14,0,inf,7,0.0006675720214843,0.0043015480041503,0.0006756782531738,0.0001981258392333,0.0006675720214843,0.0001981258392333,0.0023605823516845,7.939338684082031e-05,0.000596284866333,0.0040221214294433,0.000279426574707,0.0,0.0,0.0,0.0058429241180419,5.958418369293213,
in5,vp_acceleration,DEU_AachenFrankenburg-1_206020_T-6039,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_206020_T-6039.xml,10462,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,5,0,inf,7,0.0016088485717773,0.0038142204284667,0.0003716945648193,0.000190258026123,0.0016088485717773,0.000190258026123,0.001659870147705,6.198883056640625e-05,0.0003097057342529,0.0035674571990966,0.0002467632293701,0.0,0.0,0.0,0.0059850215911865,4.992205381393433,
in5,vp_acceleration,DEU_AachenBendplatz-1_122380_T-2399,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_122380_T-2399.xml,10145,R_IN5,vp,2,1,domain_dpll,False,,False,17,,2,15,1,0,,6,0.0012319087982177,0.011674165725708,0.0186934471130371,0.0037331581115722,0.0012319087982177,0.0037331581115722,0.0017008781433105,0.0043206214904785,0.0143728256225585,0.0104122161865234,0.0012619495391845,0.0,0.0,0.0,0.0353326797485351,6.336385726928711,repair returned None
in5,vp_acceleration,DEU_AachenBendplatz-1_131400_T-1419,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_131400_T-1419.xml,10108,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,13,0,inf,7,0.000643253326416,0.0054631233215332,0.0004060268402099,0.0001981258392333,0.000643253326416,0.0001981258392333,0.0013797283172607,7.390975952148438e-05,0.0003321170806884,0.0046548843383789,0.0008082389831542,0.0,0.0,0.0,0.0067105293273925,5.749044179916382,
in5,vp_acceleration,DEU_AachenBendplatz-1_13560_T-579,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_13560_T-579.xml,10037,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,12,0,inf,7,0.0006914138793945,0.0038924217224121,0.0005860328674316,0.0002400875091552,0.0006914138793945,0.0002400875091552,0.002021312713623,8.797645568847656e-05,0.0004980564117431,0.0036263465881347,0.0002660751342773,0.0,0.0,0.0,0.0054099559783935,5.816018581390381,
in5,vp_acceleration,DEU_AachenBendplatz-1_141560_T-1579,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_141560_T-1579.xml,10095,R_IN5,vp,2,1,domain_dpll,False,,True,12,acceleration,11,1,7,0,inf,6,0.0010995864868164,0.0099790096282958,0.0035924911499023,0.0045423507690429,0.0010995864868164,0.0045423507690429,0.0016777515411376,0.0017814636230468,0.0018110275268554,0.0090773105621337,0.0009016990661621,0.0,0.0,0.0,0.0192134380340576,6.411794424057007,
in5,vp_acceleration,DEU_AachenBendplatz-1_161740_T-1759,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenBendplatz-1_161740_T-1759.xml,10135,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,6,0,inf,7,0.000737190246582,0.0035984516143798,0.0005121231079101,0.0001871585845947,0.000737190246582,0.0001871585845947,0.0014827251434326,7.390975952148438e-05,0.0004382133483886,0.0031690597534179,0.0004293918609619,0.0,0.0,0.0,0.0050349235534667,5.717178821563721,
in5,vp_acceleration,DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_12960_T-979_in5_safe_variant_01.xml,10047,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,13,0,inf,7,0.000709056854248,0.0040957927703857,0.0005764961242675,0.0002126693725585,0.000709056854248,0.0002126693725585,0.0017199516296386,7.748603820800781e-05,0.0004990100860595,0.0037579536437988,0.0003378391265869,0.0,0.0,0.0,0.0055940151214599,5.98074197769165,
in5,vp_acceleration,DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_02.xml,10204,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,12,0,inf,7,0.0006906986236572,0.0041184425354003,0.0004780292510986,0.00020432472229,0.0006906986236572,0.00020432472229,0.0019917488098144,8.749961853027344e-05,0.0003905296325683,0.0038423538208007,0.0002760887145996,0.0,0.0,0.0,0.0054914951324462,6.236460447311401,
in5,vp_acceleration,DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_05.xml,10331,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,13,0,inf,7,0.0006971359252929,0.0082674026489257,0.0008211135864257,0.0002064704895019,0.0006971359252929,0.0002064704895019,0.0023179054260253,8.535385131835938e-05,0.0007357597351074,0.0079860687255859,0.0002813339233398,0.0,0.0,0.0,0.0099921226501464,5.8067591190338135,
in5,vp_acceleration,DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenFrankenburg-1_206020_T-6039_in5_safe_variant_06.xml,10462,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,8,0,inf,7,0.0006437301635742,0.0047147274017333,0.0003912448883056,0.0002186298370361,0.0006437301635742,0.0002186298370361,0.0015609264373779,7.772445678710938e-05,0.0003135204315185,0.0044186115264892,0.0002961158752441,0.0,0.0,0.0,0.0059683322906494,4.913412809371948,
in5,vp_acceleration,DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_13.xml,10204,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,14,0,inf,7,0.000683307647705,0.0040140151977539,0.0004365444183349,0.0001931190490722,0.000683307647705,0.0001931190490722,0.0017573833465576,8.130073547363281e-05,0.0003552436828613,0.0036489963531494,0.0003650188446044,0.0,0.0,0.0,0.0053269863128662,5.966198921203613,
in5,vp_acceleration,DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_15.xml,10288,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,11,0,inf,7,0.001605749130249,0.0038814544677734,0.0004003047943115,0.00022554397583,0.001605749130249,0.00022554397583,0.0014309883117675,6.008148193359375e-05,0.0003402233123779,0.0032789707183837,0.0006024837493896,0.0,0.0,0.0,0.006113052368164,5.836245059967041,
in5,vp_acceleration,DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_16.xml,10331,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,14,0,inf,7,0.0007476806640625,0.0045475959777832,0.0007486343383789,0.0002162456512451,0.0007476806640625,0.0002162456512451,0.0024135112762451,8.916854858398438e-05,0.0006594657897949,0.0043091773986816,0.0002384185791015,0.0,0.0,0.0,0.0062601566314697,5.846720218658447,
in5,vp_acceleration,DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenFrankenburg-1_295880_T-5899_in5_safe_variant_21.xml,10562,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,4,0,inf,7,0.0007486343383789,0.0046813488006591,0.0004770755767822,0.0002133846282958,0.0007486343383789,0.0002133846282958,0.0022385120391845,7.724761962890625e-05,0.0003998279571533,0.004291296005249,0.0003900527954101,0.0,0.0,0.0,0.0061204433441162,4.883311033248901,
in5,vp_acceleration,DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_132900_T-2919_in5_safe_variant_24.xml,10204,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,14,0,inf,7,0.0006940364837646,0.0037505626678466,0.0004315376281738,0.0001935958862304,0.0006940364837646,0.0001935958862304,0.0017523765563964,7.510185241699219e-05,0.0003564357757568,0.0033800601959228,0.0003705024719238,0.0,0.0,0.0,0.0050697326660156,6.02957558631897,
in5,vp_acceleration,DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_83820_T-3839_in5_safe_variant_26.xml,10288,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,11,0,inf,7,0.0016753673553466,0.0043118000030517,0.0003948211669921,0.0002295970916748,0.0016753673553466,0.0002295970916748,0.0015769004821777,6.031990051269531e-05,0.0003345012664794,0.0036306381225585,0.0006811618804931,0.0,0.0,0.0,0.0066115856170654,6.101795196533203,
in5,vp_acceleration,DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27,/data_linux/Lab/commonroad-repairer-vp/scenarios/in5_generate/DEU_AachenBendplatz-1_84280_T-4299_in5_safe_variant_27.xml,10331,R_IN5,vp,2,1,domain_dpll,False,,True,1,deceleration,1,0,14,0,inf,7,0.0007007122039794,0.0063159465789794,0.0007009506225585,0.0002098083496093,0.0007007122039794,0.0002098083496093,0.0024764537811279,8.463859558105469e-05,0.0006163120269775,0.0056996345520019,0.0006163120269775,0.0,0.0,0.0,0.0079274177551269,6.2917797565460205,
