scenario_id,scenario_path,ego_id,rule,repairer_type,planner,constraint_mode,sat_solver_mode,attempted_smt_configurations,success,iterations,tv,tc,updated_tv,domain_dict_size,predicate_value_estimate_time,vp_planning_time,constraint_extract_time,sat_solve_time,domain_dict_time,sat_time,clcs_time,constraint_extraction_time,constraint_conversion_time,lp_time,trajectory_build_time,tc_search_time,reach_set_time,optimization_time,core_total_time,wall_time,error
DEU_LocationALower-34_62_T-1,,8,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,4,6,5,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.314836263656616,8.163077592849731,
DEU_LocationALower-34_74_T-1,,11,R_G2,vp,1,1,domain_dpll,,True,1,6,0,inf,1,2.8133392333984375e-05,0.0044727325439453125,0.0003464221954345703,6.914138793945312e-05,2.8133392333984375e-05,6.914138793945312e-05,0.0017580986022949219,8.869171142578125e-05,0.00025773048400878906,0.004289388656616211,0.00018334388732910156,0.0,0.0,0.0,0.00491642951965332,1.1788346767425537,
DEU_LocationALower-34_74_T-1,,11,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,6,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7473533153533936,6.804330587387085,repair returned None
DEU_LocationALower-34_80_T-1,,10,R_G2,vp,1,1,domain_dpll,,True,1,2,0,inf,1,3.910064697265625e-05,0.006020784378051758,0.0005710124969482422,6.389617919921875e-05,3.910064697265625e-05,6.389617919921875e-05,0.002711772918701172,9.775161743164062e-05,0.00047326087951660156,0.005706071853637695,0.0003147125244140625,0.0,0.0,0.0,0.006694793701171875,1.275695562362671,
DEU_LocationALower-34_80_T-1,,10,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,4,2,1,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.926891803741455,9.469777584075928,
DEU_LocationALower-34_93_T-1,,21,R_G2,vp,1,1,domain_dpll,,True,1,3,0,inf,1,3.457069396972656e-05,0.007236003875732422,0.0005853176116943359,7.581710815429688e-05,3.457069396972656e-05,7.581710815429688e-05,0.0028417110443115234,9.584426879882812e-05,0.0004894733428955078,0.006855010986328125,0.0003809928894042969,0.0,0.0,0.0,0.007931709289550781,1.438093662261963,
DEU_LocationALower-34_93_T-1,,21,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,3,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.712045907974243,14.386918783187866,repair returned None
DEU_LocationALower-35_140_T-1,,10,R_G2,vp,1,1,domain_dpll,,True,1,5,0,inf,1,3.361701965332031e-05,0.0059206485748291016,0.0006046295166015625,0.00015807151794433594,3.361701965332031e-05,0.00015807151794433594,0.0028727054595947266,9.5367431640625e-05,0.0005092620849609375,0.005527973175048828,0.00039267539978027344,0.0,0.0,0.0,0.00671696662902832,1.0334932804107666,
DEU_LocationALower-35_140_T-1,,10,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,8,5,4,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3432810306549072,7.209206819534302,
DEU_LocationALower-35_189_T-1,,14,R_G2,vp,1,1,domain_dpll,,True,1,2,0,inf,1,3.886222839355469e-05,0.005931377410888672,0.0006196498870849609,6.341934204101562e-05,3.886222839355469e-05,6.341934204101562e-05,0.002865314483642578,0.0001049041748046875,0.0005147457122802734,0.005595207214355469,0.0003361701965332031,0.0,0.0,0.0,0.006653308868408203,1.2688157558441162,
DEU_LocationALower-35_189_T-1,,14,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.789218664169312,14.511481285095217,repair returned None
DEU_LocationALower-35_190_T-1,,12,R_G2,vp,1,1,domain_dpll,,True,1,14,0,inf,1,3.600120544433594e-05,0.005846500396728516,0.0005731582641601562,6.651878356933594e-05,3.600120544433594e-05,6.651878356933594e-05,0.0027883052825927734,0.00011157989501953125,0.000461578369140625,0.00554966926574707,0.0002968311309814453,0.0,0.0,0.0,0.006522178649902344,1.195120096206665,
DEU_LocationALower-35_190_T-1,,12,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,14,12,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314820289611816,5.810247898101807,repair returned None
DEU_LocationALower-37_213_T-1,,12,R_G2,vp,1,1,domain_dpll,,True,1,2,0,inf,1,4.458427429199219e-05,0.005934715270996094,0.0005936622619628906,7.367134094238281e-05,4.458427429199219e-05,7.367134094238281e-05,0.002714395523071289,0.00010180473327636719,0.0004918575286865234,0.0056040287017822266,0.0003306865692138672,0.0,0.0,0.0,0.006646633148193359,1.0268878936767578,
DEU_LocationALower-37_213_T-1,,12,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,2,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.278552055358887,11.11963438987732,repair returned None
DEU_LocationALower-37_86_T-1,,7,R_G2,vp,1,1,domain_dpll,,True,1,6,0,inf,1,3.3855438232421875e-05,0.01917433738708496,0.002636432647705078,0.0002796649932861328,3.3855438232421875e-05,0.0002796649932861328,0.012825965881347656,0.000213623046875,0.002422809600830078,0.018199920654296875,0.0009744167327880859,0.0,0.0,0.0,0.022124290466308594,1.1027557849884033,
DEU_LocationALower-37_86_T-1,,7,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,8,6,5,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.663954734802246,6.446064472198486,
DEU_LocationALower-38_46_T-1,,15,R_G2,vp,1,1,domain_dpll,,True,1,9,0,inf,1,4.029273986816406e-05,0.006282329559326172,0.0006437301635742188,6.151199340820312e-05,4.029273986816406e-05,6.151199340820312e-05,0.0027742385864257812,0.00011038780212402344,0.0005333423614501953,0.0059664249420166016,0.0003159046173095703,0.0,0.0,0.0,0.007027864456176758,1.4146084785461426,
DEU_LocationALower-38_46_T-1,,15,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,9,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6885685920715332,7.899559259414673,repair returned None
DEU_LocationALower-38_47_T-1,,9,R_G2,vp,1,1,domain_dpll,,True,1,4,0,inf,1,2.3603439331054688e-05,0.004183530807495117,0.0002892017364501953,5.698204040527344e-05,2.3603439331054688e-05,5.698204040527344e-05,0.0015041828155517578,8.225440979003906e-05,0.00020694732666015625,0.0040128231048583984,0.00017070770263671875,0.0,0.0,0.0,0.004553318023681641,1.0901415348052979,
DEU_LocationALower-38_47_T-1,,9,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,4,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553965091705322,6.136106729507446,repair returned None
DEU_LocationALower-38_47_T-1,,11,R_G2,vp,1,1,domain_dpll,,True,1,9,0,inf,1,2.9802322387695312e-05,0.004906892776489258,0.0004093647003173828,6.008148193359375e-05,2.9802322387695312e-05,6.008148193359375e-05,0.0021276473999023438,9.036064147949219e-05,0.0003190040588378906,0.0046749114990234375,0.0002319812774658203,0.0,0.0,0.0,0.00540614128112793,1.1542387008666992,
DEU_LocationALower-38_47_T-1,,11,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,9,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571734428405761,6.247001886367798,repair returned None
DEU_LocationALower-39_11_T-1,,9,R_G2,vp,1,1,domain_dpll,,True,1,14,0,inf,1,3.62396240234375e-05,0.005406856536865234,0.0005905628204345703,0.0002105236053466797,3.62396240234375e-05,0.0002105236053466797,0.0029077529907226562,0.00010371208190917969,0.0004868507385253906,0.005125284194946289,0.0002815723419189453,0.0,0.0,0.0,0.006244182586669922,1.0464670658111572,
DEU_LocationALower-39_11_T-1,,9,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,14,11,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537482738494873,5.435516595840454,repair returned None
DEU_LocationALower-40_140_T-1,,11,R_G2,vp,1,1,domain_dpll,,True,1,4,0,inf,1,3.62396240234375e-05,0.006353855133056641,0.0005812644958496094,0.0001838207244873047,3.62396240234375e-05,0.0001838207244873047,0.0029172897338867188,0.00011897087097167969,0.0004622936248779297,0.006066322326660156,0.0002875328063964844,0.0,0.0,0.0,0.007155179977416992,1.0556626319885254,
DEU_LocationALower-40_140_T-1,,11,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,4,2,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.920706510543823,10.472362279891968,repair returned None
DEU_LocationALower-42_14_T-1,,9,R_G2,vp,1,1,domain_dpll,,True,1,4,0,inf,1,3.695487976074219e-05,0.018388748168945312,0.002677440643310547,0.00015306472778320312,3.695487976074219e-05,0.00015306472778320312,0.012868642807006836,0.000194549560546875,0.002482891082763672,0.017819643020629883,0.0005691051483154297,0.0,0.0,0.0,0.021256208419799805,1.2403008937835693,
DEU_LocationALower-42_14_T-1,,9,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:ok,True,4,4,3,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5490424633026123,8.31784987449646,
DEU_LocationALower-44_216_T-1,,14,R_G2,vp,1,1,domain_dpll,,True,1,12,0,inf,1,3.933906555175781e-05,0.005652427673339844,0.0005729198455810547,7.295608520507812e-05,3.933906555175781e-05,7.295608520507812e-05,0.002685546875,9.870529174804688e-05,0.0004742145538330078,0.0053522586822509766,0.0003001689910888672,0.0,0.0,0.0,0.006337642669677734,1.3214335441589355,
DEU_LocationALower-44_216_T-1,,14,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,5,12,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.185067415237427,12.05510425567627,repair returned None
DEU_LocationALower-44_87_T-1,,17,R_G2,vp,1,1,domain_dpll,,True,1,11,0,inf,1,3.62396240234375e-05,0.005599498748779297,0.0005941390991210938,7.43865966796875e-05,3.62396240234375e-05,7.43865966796875e-05,0.002730131149291992,0.00010609626770019531,0.00048804283142089844,0.005294322967529297,0.00030517578125,0.0,0.0,0.0,0.006304264068603516,1.18788743019104,
DEU_LocationALower-44_87_T-1,,17,R_G2,smt,2,1,domain_dpll,p1_c2:fail;p2_c2:fail;p1_c1:fail;p2_c1:fail,False,8,11,9,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299976825714112,6.37155556678772,repair returned None
